                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.79251,                0.45628,                 1.0467,                0.87364,                0.85222,                0.88286,                0.62012,                 1.2645,                0.71867,                 1.3507,                0.00208,                0.00208,                0.00208
                    123,                0.77534,                0.44228,                 1.0394,                0.87532,                0.85067,                0.88317,                0.62041,                 1.2622,                0.71852,                 1.3494,               0.002014,               0.002014,               0.002014
                    124,                0.77846,                0.44784,                 1.0359,                0.87659,                 0.8508,                0.88479,                0.62129,                 1.2599,                0.71939,                 1.3479,               0.001948,               0.001948,               0.001948
                    125,                0.77117,                0.44556,                 1.0337,                0.87688,                0.84889,                0.88426,                0.62131,                 1.2584,                0.71761,                  1.347,               0.001882,               0.001882,               0.001882
                    126,                0.76039,                0.43159,                 1.0284,                0.87972,                0.84749,                0.88486,                0.62175,                  1.257,                0.71863,                 1.3455,               0.001816,               0.001816,               0.001816
                    127,                0.76372,                0.43684,                 1.0308,                0.87731,                0.85154,                0.88444,                0.62221,                 1.2552,                0.71919,                 1.3449,                0.00175,                0.00175,                0.00175
                    128,                0.75423,                0.42996,                 1.0288,                0.87954,                0.84403,                0.88487,                0.62277,                 1.2532,                0.71843,                 1.3447,               0.001684,               0.001684,               0.001684
                    129,                0.74915,                0.42716,                 1.0258,                0.88145,                  0.844,                0.88544,                0.62237,                 1.2518,                0.71725,                 1.3451,               0.001618,               0.001618,               0.001618
                    130,                0.74078,                0.42406,                 1.0228,                0.88114,                0.84471,                0.88583,                0.62303,                 1.2499,                0.71738,                 1.3443,               0.001552,               0.001552,               0.001552
                    131,                0.74339,                0.42452,                 1.0237,                0.88211,                0.84415,                0.88578,                0.62407,                 1.2479,                0.71498,                 1.3438,               0.001486,               0.001486,               0.001486
                    132,                0.73864,                0.41721,                 1.0169,                0.88153,                0.84461,                0.88601,                 0.6255,                 1.2457,                0.71509,                 1.3428,                0.00142,                0.00142,                0.00142
                    133,                0.73605,                0.41493,                 1.0149,                 0.8827,                0.84373,                0.88587,                0.62593,                 1.2454,                0.71699,                 1.3427,               0.001354,               0.001354,               0.001354
                    134,                0.73838,                0.41995,                 1.0186,                0.88401,                0.84401,                0.88689,                 0.6264,                 1.2433,                0.71749,                 1.3416,               0.001288,               0.001288,               0.001288
                    135,                0.72081,                0.41399,                 1.0128,                0.88027,                 0.8461,                0.88713,                0.62673,                 1.2421,                0.71673,                 1.3415,               0.001222,               0.001222,               0.001222
                    136,                0.71897,                0.41405,                 1.0098,                0.87963,                 0.8461,                0.88733,                0.62792,                 1.2413,                0.71748,                 1.3414,               0.001156,               0.001156,               0.001156
                    137,                 0.7129,                0.41084,                 1.0059,                0.87946,                0.84848,                0.88742,                0.62838,                 1.2395,                0.71688,                 1.3404,                0.00109,                0.00109,                0.00109
                    138,                0.70561,                0.40211,                  1.004,                0.87995,                0.84736,                0.88827,                0.62777,                 1.2381,                0.71684,                 1.3394,               0.001024,               0.001024,               0.001024
                    139,                0.70187,                0.39716,                 1.0018,                0.88041,                 0.8468,                0.88831,                 0.6288,                 1.2369,                0.71625,                 1.3393,               0.000958,               0.000958,               0.000958
                    140,                 0.6992,                0.40001,                 1.0004,                0.88307,                 0.8467,                0.88873,                0.63013,                 1.2369,                0.71542,                 1.3396,               0.000892,               0.000892,               0.000892
